settlement_id,decision,confidence_score,is_fully_reconciled,stage1_transaction_ids,stage1_gross_sum_minor,stage1_payout_gross_minor,stage2_bank_entry_ids,stage2_bank_credit_sum_minor,stage2_payout_net_minor,failure_reasons,validator_checks
PO_2083,AUTO_APPROVED,0.8941,True,TXN_1117,163660,163660,BNK_3090,163660,163660,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2343,NEEDS_REVIEW,0.7909,False,TXN_1461;TXN_1460;TXN_1459,226600,226600,BNK_3369,222069,222069,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2352,AUTO_APPROVED,0.8941,True,TXN_1473,133360,133360,BNK_3379,133360,133360,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2035,NEEDS_REVIEW,0.7898,False,TXN_1051;TXN_1050;TXN_1049;TXN_1048,404950,404950,BNK_3042,396852,396852,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2318,AUTO_APPROVED,0.8924,True,TXN_1430,188450,188450,BNK_3343,146992,146992,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2135,NEEDS_REVIEW,0.6843,False,TXN_1190,190000,190000,BNK_3149,186200,186200,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2298,AUTO_APPROVED,0.8947,True,TXN_1405,55550,55550,BNK_3324,55550,55550,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2004,AUTO_APPROVED,0.8942,True,TXN_1006,36690,36690,BNK_3005,35825,35825,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2217,AUTO_APPROVED,0.895,True,TXN_1290,58070,58070,BNK_3238,56700,56700,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2287,AUTO_APPROVED,0.8945,True,TXN_1390,169560,169560,BNK_3313,165559,165559,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2075,AUTO_APPROVED,0.8915,True,TXN_1106,62710,62710,BNK_3081,61231,61231,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2080,NEEDS_REVIEW,0.7908,False,TXN_1114;TXN_1113,120450,120450,BNK_3087,118041,118041,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2341,AUTO_APPROVED,0.8938,True,TXN_1457,164030,164030,BNK_3367,164030,164030,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2018,AUTO_APPROVED,0.8942,True,TXN_1028,27670,27670,BNK_3023,27670,27670,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2107,AUTO_APPROVED,0.8924,True,TXN_1146,67450,67450,BNK_3119,52612,52612,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2072,NEEDS_REVIEW,0.6843,False,TXN_1103,210530,210530,BNK_3078,206320,206320,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2095,AUTO_APPROVED,0.8768,True,TXN_1133,158580,158580,BNK_3103,158580,158580,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2233,NEEDS_REVIEW,0.7898,False,TXN_1320;TXN_1319;TXN_1318;TXN_1317,386920,386920,BNK_3256,379184,379184,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2237,AUTO_APPROVED,0.8768,True,TXN_1324,72940,72940,BNK_3260,72940,72940,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2248,AUTO_APPROVED,0.8926,True,TXN_1339,215140,215140,BNK_3272,215140,215140,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2060,AUTO_APPROVED,0.9061,True,TXN_1084,95860,95860,BNK_3066,95860,95860,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2279,AUTO_APPROVED,0.8934,True,TXN_1376,83420,83420,BNK_3304,83420,83420,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2038,AUTO_APPROVED,0.8768,True,TXN_1054,117350,117350,BNK_3045,117350,117350,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2101,AUTO_APPROVED,0.895,True,TXN_1140,137440,137440,BNK_3110,137440,137440,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2205,NEEDS_REVIEW,0.7894,False,TXN_1275;TXN_1274,182510,182510,BNK_3226,178860,178860,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2053,AUTO_APPROVED,0.8768,True,TXN_1071,5130,5130,BNK_3059,5130,5130,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2054,AUTO_APPROVED,0.8928,True,TXN_1072,157360,157360,BNK_3060,153647,153647,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2194,AUTO_APPROVED,0.8951,True,TXN_1258,141500,141500,BNK_3214,141500,141500,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2093,NEEDS_REVIEW,0.6843,False,TXN_1131,144300,144300,BNK_3101,141414,141414,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2254,AUTO_APPROVED,0.8184,True,TXN_1347,137840,137840,BNK_3278;BNK_3279,135084,135084,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2309,UNRESOLVED,0.0,False,,0,139060,,0,139060,STAGE1_NO_VALID_TRANSACTIONS_MATCHED; STAGE2_NO_VALID_BANK_ENTRIES_MATCHED,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": false, ""STAGE2_BALANCE"": false, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2013,AUTO_APPROVED,0.8923,True,TXN_1020,130040,130040,BNK_3016,130040,130040,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2288,AUTO_APPROVED,0.8957,True,TXN_1391,177500,177500,BNK_3314,177500,177500,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2112,AUTO_APPROVED,0.8957,True,TXN_1154,113780,113780,BNK_3124,111095,111095,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2271,UNRESOLVED,0.0,False,,0,117850,,0,117850,STAGE1_NO_VALID_TRANSACTIONS_MATCHED; STAGE2_NO_VALID_BANK_ENTRIES_MATCHED,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": false, ""STAGE2_BALANCE"": false, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2094,AUTO_APPROVED,0.8984,True,TXN_1132,28390,28390,BNK_3102,28390,28390,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2066,AUTO_APPROVED,0.8924,True,TXN_1095,198950,198950,BNK_3072,155182,155182,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2218,AUTO_APPROVED,0.8958,True,TXN_1291,185490,185490,BNK_3239,181113,181113,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2241,UNRESOLVED,0.0,False,,0,129410,,0,129410,STAGE1_NO_VALID_TRANSACTIONS_MATCHED; STAGE2_NO_VALID_BANK_ENTRIES_MATCHED,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": false, ""STAGE2_BALANCE"": false, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2213,NEEDS_REVIEW,0.9126,False,TXN_1286,2500,2500,BNK_3234,2500,2500,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2123,NEEDS_REVIEW,0.7911,False,TXN_1170;TXN_1169;TXN_1168,328580,328580,BNK_3136,322009,322009,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2284,NEEDS_REVIEW,0.7867,False,TXN_1387;TXN_1386;TXN_1385;TXN_1384,169120,169120,BNK_3309,165740,165740,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2307,UNRESOLVED,0.0,False,TXN_1417,133750,133750,,0,133750,STAGE2_NO_VALID_BANK_ENTRIES_MATCHED,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": false, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2157,AUTO_APPROVED,0.8973,True,TXN_1215,106060,106060,BNK_3175,103557,103557,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2296,AUTO_APPROVED,0.8953,True,TXN_1403,128010,128010,BNK_3322,128010,128010,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2281,AUTO_APPROVED,0.8955,True,TXN_1378,109930,109930,BNK_3306,107336,107336,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2061,AUTO_APPROVED,0.8768,True,TXN_1085,30380,30380,BNK_3067,30380,30380,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2132,AUTO_APPROVED,0.8965,True,TXN_1182,181140,181140,BNK_3146,181140,181140,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2006,NEEDS_REVIEW,0.789,False,TXN_1011;TXN_1010;TXN_1009;TXN_1008,355950,355950,BNK_3008,348832,348832,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2009,AUTO_APPROVED,0.8966,True,TXN_1014,229330,229330,BNK_3012,229330,229330,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2228,NEEDS_REVIEW,0.7894,False,TXN_1312;TXN_1311;TXN_1310;TXN_1309,293980,293980,BNK_3251,288102,288102,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2126,NEEDS_REVIEW,0.789,False,TXN_1174;TXN_1173,278450,278450,BNK_3139,272882,272882,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2236,AUTO_APPROVED,0.8936,True,TXN_1323,71810,71810,BNK_3259,71810,71810,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2262,AUTO_APPROVED,0.8944,True,TXN_1357,15390,15390,BNK_3288,15027,15027,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2355,AUTO_APPROVED,0.8184,True,TXN_1478,135400,135400,BNK_3382;BNK_3383,132692,132692,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2148,AUTO_APPROVED,0.8955,True,TXN_1206,201740,201740,BNK_3163,201740,201740,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2040,AUTO_APPROVED,0.8958,True,TXN_1056,213760,213760,BNK_3047,208716,208716,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2045,AUTO_APPROVED,0.8968,True,TXN_1060,234790,234790,BNK_3051,234790,234790,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2319,AUTO_APPROVED,0.8934,True,TXN_1431,214870,214870,BNK_3344,209800,209800,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2032,AUTO_APPROVED,0.8184,True,TXN_1045,199810,199810,BNK_3038;BNK_3039,195814,195814,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2314,AUTO_APPROVED,0.8947,True,TXN_1425,151070,151070,BNK_3339,151070,151070,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2253,AUTO_APPROVED,0.8768,True,TXN_1346,90700,90700,BNK_3277,90700,90700,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2162,AUTO_APPROVED,0.8942,True,TXN_1222,30770,30770,BNK_3180,30044,30044,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2257,AUTO_APPROVED,0.8932,True,TXN_1350,86080,86080,BNK_3283,84049,84049,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2042,UNRESOLVED,0.0,False,,0,53520,,0,53520,STAGE1_NO_VALID_TRANSACTIONS_MATCHED; STAGE2_NO_VALID_BANK_ENTRIES_MATCHED,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": false, ""STAGE2_BALANCE"": false, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2225,AUTO_APPROVED,0.8989,True,TXN_1305,167970,167970,BNK_3248,167970,167970,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2048,NEEDS_REVIEW,0.7886,False,TXN_1066;TXN_1065;TXN_1064;TXN_1063,244120,244120,BNK_3054,239240,239240,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2268,AUTO_APPROVED,0.8768,True,TXN_1366,23490,23490,BNK_3294,23490,23490,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2325,AUTO_APPROVED,0.8936,True,TXN_1437,193350,193350,BNK_3351,188787,188787,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
PO_2286,AUTO_APPROVED,0.8184,True,TXN_1389,185760,185760,BNK_3311;BNK_3312,182045,182045,,"{""PAYOUT_INTERNAL_EQUATION"": true, ""STAGE1_BALANCE"": true, ""STAGE2_BALANCE"": true, ""CURRENCY_CONSISTENCY"": true, ""DATE_ORDER_VALIDITY"": true}"
